=== YFFS2 Test Operations ===

=== YAFFS2 Media Information ===
Mount point          : /
Filesystem type      : YAFFS2
Total space          : 32768 KB (32 MB)
Free space           : 18300 KB (17 MB)
Used space           : 14467 KB (14 MB)
Usage                : 44% used, 56% free
GC Recommendation    : Low usage - passive garbage collection sufficient

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled

Test operations:
<1> - Write files test
<2> - Read files test
<3> - Delete files test
<4> - Format filesystem test
<5> - Run full test (write+read+delete)

Configuration:
<6> - Change files count (1-10000)
<7> - Change file size (1KB-1MB)
<8> - Change block size (1KB-128KB)
<A> - Change data pattern
<B> - Toggle data verification
<C> - Change constant pattern value
<9> - Reset to defaults
<ESC> - Return to previous menu

Enter choice: 
=== YAFFS2 Read Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Reading 1000 files of 10240 bytes each...
File /test_031.bin: opened:   434 us, closed:     3 us, I/O:   2136 us, total:   7865 us, speed:  4681 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_032.bin: opened:   434 us, closed:     3 us, I/O:   2142 us, total:   7864 us, speed:  4668 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_033.bin: opened:   436 us, closed:     3 us, I/O:   2138 us, total:   7816 us, speed:  4677 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_034.bin: opened:   442 us, closed:     7 us, I/O:   2134 us, total:   7921 us, speed:  4686 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_035.bin: opened:   448 us, closed:     3 us, I/O:   2133 us, total:   7920 us, speed:  4688 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_036.bin: opened:   454 us, closed:     3 us, I/O:   2143 us, total:   7884 us, speed:  4666 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_037.bin: opened:   456 us, closed:     3 us, I/O:   2131 us, total:   7849 us, speed:  4692 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_038.bin: opened:   456 us, closed:     3 us, I/O:   2159 us, total:   7899 us, speed:  4631 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_039.bin: opened:   460 us, closed:     3 us, I/O:   2134 us, total:   7863 us, speed:  4686 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_040.bin: opened:   429 us, closed:     3 us, I/O:   2140 us, total:   8311 us, speed:  4672 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_041.bin: opened:   435 us, closed:     3 us, I/O:   2132 us, total:   7835 us, speed:  4690 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_042.bin: opened:   435 us, closed:     3 us, I/O:   2142 us, total:   7897 us, speed:  4668 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_043.bin: opened:   438 us, closed:     3 us, I/O:   2144 us, total:   7927 us, speed:  4664 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_044.bin: opened:   444 us, closed:     3 us, I/O:   2140 us, total:   7869 us, speed:  4672 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_045.bin: opened:   446 us, closed:     3 us, I/O:   2144 us, total:   7892 us, speed:  4664 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_046.bin: opened:   453 us, closed:     3 us, I/O:   2150 us, total:   7913 us, speed:  4651 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_047.bin: opened:   453 us, closed:     3 us, I/O:   2156 us, total:   7894 us, speed:  4638 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_048.bin: opened:   457 us, closed:     3 us, I/O:   2130 us, total:   7891 us, speed:  4694 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_049.bin: opened:   450 us, closed:     3 us, I/O:   2139 us, total:  13853 us, speed:  4675 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_050.bin: opened:   427 us, closed:     7 us, I/O:   2143 us, total:   7872 us, speed:  4666 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_051.bin: opened:   430 us, closed:     3 us, I/O:   2134 us, total:   7859 us, speed:  4686 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File /test_052.bin: opened:   433 us, closed:     3 us, I/O:   2148 us, total:   7880 us, speed:  4655 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
