=== Read Test ===
Filesystem integrity check: OK
Reading 1000 files, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Reading /test_035.bin... opened:  1411 us, closed:     3 us, I/O:   1888 us, total:   8509 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_036.bin... opened:  1399 us, closed:     3 us, I/O:   1888 us, total:   8476 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_037.bin... opened:  1375 us, closed:     6 us, I/O:   1884 us, total:   8434 us, speed:  5307 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_038.bin... opened:  1372 us, closed:     3 us, I/O:   1885 us, total:  14369 us, speed:  5305 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_039.bin... opened:  1368 us, closed:     3 us, I/O:   1882 us, total:   8394 us, speed:  5313 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_040.bin... opened:  1369 us, closed:     3 us, I/O:   1891 us, total:   8432 us, speed:  5288 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_041.bin... opened:  1358 us, closed:     3 us, I/O:   1888 us, total:   8412 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_042.bin... opened:  3264 us, closed:     3 us, I/O:   1890 us, total:  10321 us, speed:  5291 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_043.bin... opened:  3272 us, closed:     3 us, I/O:   1892 us, total:  10351 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_044.bin... opened:  3226 us, closed:     3 us, I/O:   1892 us, total:  10307 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_045.bin... opened:  3249 us, closed:     3 us, I/O:   1893 us, total:  10321 us, speed:  5282 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_046.bin... opened:  3197 us, closed:     3 us, I/O:   1900 us, total:  10254 us, speed:  5263 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_047.bin... opened:  3200 us, closed:     3 us, I/O:   7287 us, total:  15643 us, speed:  1372 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_048.bin... opened:  3237 us, closed:     3 us, I/O:   1884 us, total:  10300 us, speed:  5307 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_049.bin... opened:  3165 us, closed:     3 us, I/O:   1889 us, total:  10233 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_050.bin... opened:  3160 us, closed:     3 us, I/O:   1889 us, total:  10222 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_051.bin... opened:  3133 us, closed:     3 us, I/O:   1887 us, total:  10203 us, speed:  5299 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
