=== Write Test ===
Filesystem integrity check: OK
Writing 1000 files, 10240 bytes each, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Writing /test_043.bin... opened:  2228 us, closed:   444 us, I/O:  91135 us, total:  98729 us, speed:   109 KB/s, CRC32: 0xC61C2AA0
Writing /test_044.bin... opened:  2294 us, closed:   441 us, I/O:  97161 us, total: 104813 us, speed:   102 KB/s, CRC32: 0xC61C2AA0
Writing /test_045.bin... opened:  2361 us, closed:   443 us, I/O:  86032 us, total:  93762 us, speed:   116 KB/s, CRC32: 0xC61C2AA0
Writing /test_046.bin... opened:  2415 us, closed:   446 us, I/O:  93090 us, total: 100894 us, speed:   107 KB/s, CRC32: 0xC61C2AA0
Writing /test_047.bin... opened:  2469 us, closed:   441 us, I/O:  94010 us, total: 101871 us, speed:   106 KB/s, CRC32: 0xC61C2AA0
Writing /test_048.bin... opened:  2563 us, closed:   441 us, I/O:  85942 us, total:  93883 us, speed:   116 KB/s, CRC32: 0xC61C2AA0
Writing /test_049.bin... opened:  2582 us, closed:   442 us, I/O: 108178 us, total: 116172 us, speed:    92 KB/s, CRC32: 0xC61C2AA0
Writing /test_050.bin... opened:  2680 us, closed:   435 us, I/O:  91252 us, total:  99271 us, speed:   109 KB/s, CRC32: 0xC61C2AA0
Writing /test_051.bin... opened:  2853 us, closed:   410 us, I/O:  92531 us, total: 100708 us, speed:   108 KB/s, CRC32: 0xC61C2AA0
Writing /test_052.bin... opened:  2886 us, closed:   393 us, I/O:  99030 us, total: 107248 us, speed:   100 KB/s, CRC32: 0xC61C2AA0
Writing /test_053.bin... opened:  2942 us, closed:   383 us, I/O: 102009 us, total: 110292 us, speed:    98 KB/s, CRC32: 0xC61C2AA0
Writing /test_054.bin... opened:  2964 us, closed:   356 us, I/O:  90196 us, total:  98464 us, speed:   110 KB/s, CRC32: 0xC61C2AA0
Writing /test_055.bin... opened:  2998 us, closed:   337 us, I/O:  88407 us, total:  96712 us, speed:   113 KB/s, CRC32: 0xC61C2AA0
Writing /test_056.bin... opened:  3043 us, closed:   323 us, I/O: 101323 us, total: 109672 us, speed:    98 KB/s, CRC32: 0xC61C2AA0
Writing /test_057.bin... opened:  3087 us, closed:   226 us, I/O:  86903 us, total:  95156 us, speed:   115 KB/s, CRC32: 0xC61C2AA0
Writing /test_058.bin... opened: 453176 us, closed: 171725 us, I/O:  88259 us, total: 718092 us, speed:   113 KB/s, CRC32: 0xC61C2AA0
Writing /test_059.bin... opened:  2250 us, closed:   441 us, I/O:  95247 us, total: 102871 us, speed:   104 KB/s, CRC32: 0xC61C2AA0
Writing /test_060.bin... opened:  2316 us, closed:   442 us, I/O:  79988 us, total:  87642 us, speed:   125 KB/s, CRC32: 0xC61C2AA0
Writing /test_061.bin... opened:  2372 us, closed:   439 us, I/O: 102048 us, total: 109752 us, speed:    97 KB/s, CRC32: 0xC61C2AA0
Writing /test_062.bin... opened:  2461 us, closed:   439 us, I/O:  79131 us, total:  86959 us, speed:   126 KB/s, CRC32: 0xC61C2AA0
Writing /test_063.bin... opened:  2658 us, closed:   439 us, I/O:  87190 us, total:  95185 us, speed:   114 KB/s, CRC32: 0xC61C2AA0
Writing /test_064.bin... opened:  2706 us, closed:   439 us, I/O:  93201 us, total: 101299 us, speed:   107 KB/s, CRC32: 0xC61C2AA0
Writing /test_065.bin... opened:  2778 us, closed:   441 us, I/O: 101725 us, total: 109895 us, speed:    98 KB/s, CRC32: 0xC61C2AA0
Writing /test_066.bin... opened:  2837 us, closed:   448 us, I/O:  79529 us, total:  87759 us, speed:   125 KB/s, CRC32: 0xC61C2AA0
Writing /test_067.bin... opened:  2901 us, closed:   439 us, I/O:  93323 us, total: 101603 us, speed:   107 KB/s, CRC32: 0xC61C2AA0
