
=== YAFFS2 Write Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Writing 1000 files of 10240 bytes each...
File /test_044.bin: opened:  2042 us, closed:     5 us, I/O:  16600 us, total:  29705 us, speed:   602 KB/s, CRC32: 0xC61C2AA0
File /test_045.bin: opened:  2062 us, closed:     5 us, I/O:  14970 us, total:  22063 us, speed:   668 KB/s, CRC32: 0xC61C2AA0
File /test_046.bin: opened:  2047 us, closed:     5 us, I/O:  15017 us, total:  22120 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_047.bin: opened:  2034 us, closed:     5 us, I/O:  15008 us, total:  22137 us, speed:   666 KB/s, CRC32: 0xC61C2AA0
File /test_048.bin: opened:  2063 us, closed:     5 us, I/O:  16625 us, total:  29741 us, speed:   601 KB/s, CRC32: 0xC61C2AA0
File /test_049.bin: opened:  2047 us, closed:     5 us, I/O:  14996 us, total:  22107 us, speed:   666 KB/s, CRC32: 0xC61C2AA0
File /test_050.bin: opened:  2050 us, closed:     5 us, I/O:  15063 us, total:  22215 us, speed:   663 KB/s, CRC32: 0xC61C2AA0
File /test_051.bin: opened:  2060 us, closed:     5 us, I/O:  15034 us, total:  22174 us, speed:   665 KB/s, CRC32: 0xC61C2AA0
File /test_052.bin: opened:  2061 us, closed:     5 us, I/O:  22581 us, total:  29710 us, speed:   442 KB/s, CRC32: 0xC61C2AA0
File /test_053.bin: opened:  2079 us, closed:     5 us, I/O:  14972 us, total:  22127 us, speed:   667 KB/s, CRC32: 0xC61C2AA0
File /test_054.bin: opened:  2071 us, closed:     5 us, I/O:  15067 us, total:  22250 us, speed:   663 KB/s, CRC32: 0xC61C2AA0
File /test_055.bin: opened:  2067 us, closed:     5 us, I/O:  15053 us, total:  22191 us, speed:   664 KB/s, CRC32: 0xC61C2AA0
File /test_056.bin: opened:  3234 us, closed:     5 us, I/O:  21399 us, total:  29748 us, speed:   467 KB/s, CRC32: 0xC61C2AA0
