
=== YAFFS2 Delete Test ===
Deleting 1000 test files...
File /test_103.bin: deleted:   4146 us, speed:  2411 KB/s
File /test_104.bin: deleted:   4190 us, speed:  2386 KB/s
File /test_105.bin: deleted:   4204 us, speed:  2378 KB/s
File /test_106.bin: deleted:  11745 us, speed:   851 KB/s
File /test_107.bin: deleted:   4256 us, speed:  2349 KB/s
File /test_108.bin: deleted:   4203 us, speed:  2379 KB/s
File /test_109.bin: deleted:   4243 us, speed:  2356 KB/s
File /test_110.bin: deleted:   4241 us, speed:  2357 KB/s
File /test_111.bin: deleted:   4157 us, speed:  2405 KB/s
File /test_112.bin: deleted:   4230 us, speed:  2364 KB/s
File /test_113.bin: deleted:   4169 us, speed:  2398 KB/s
File /test_114.bin: deleted:   4172 us, speed:  2396 KB/s
File /test_115.bin: deleted:   4210 us, speed:  2375 KB/s
File /test_116.bin: deleted:   4205 us, speed:  2378 KB/s
File /test_117.bin: deleted:   4243 us, speed:  2356 KB/s
File /test_118.bin: deleted:   4239 us, speed:  2359 KB/s
File /test_119.bin: deleted:   4195 us, speed:  2383 KB/s
File /test_120.bin: deleted:   4229 us, speed:  2364 KB/s
File /test_121.bin: deleted:   4172 us, speed:  2396 KB/s
File /test_122.bin: deleted:   4201 us, speed:  2380 KB/s
File /test_123.bin: deleted:   4175 us, speed:  2395 KB/s
File /test_124.bin: deleted:   4152 us, speed:  2408 KB/s
File /test_125.bin: deleted:   4232 us, speed:  2362 KB/s
File /test_126.bin: deleted:  10169 us, speed:   983 KB/s
File /test_127.bin: deleted:   5807 us, speed:  1722 KB/s
File /test_128.bin: deleted:   4213 us, speed:  2373 KB/s
File /test_129.bin: deleted:   4213 us, speed:  2373 KB/s
File /test_130.bin: deleted:   4180 us, speed:  2392 KB/s
File /test_131.bin: deleted:   4178 us, speed:  2393 KB/s
File /test_132.bin: deleted:   4169 us, speed:  2398 KB/s
File /test_133.bin: deleted:   4196 us, speed:  2383 KB/s
File /test_134.bin: deleted:   4196 us, speed:  2383 KB/s
File /test_135.bin: deleted:   4167 us, speed:  2399 KB/s
File /test_136.bin: deleted:   4202 us, speed:  2379 KB/s
File /test_137.bin: deleted:   4242 us, speed:  2357 KB/s
File /test_138.bin: deleted:   4222 us, speed:  2368 KB/s
File /test_139.bin: deleted:   4232 us, speed:  2362 KB/s
File /test_140.bin: deleted:   4175 us, speed:  2395 KB/s
File /test_141.bin: deleted:   4198 us, speed:  2382 KB/s
File /test_142.bin: deleted:   4175 us, speed:  2395 KB/s
File /test_143.bin: deleted:   4183 us, speed:  2390 KB/s
File /test_144.bin: deleted:   4143 us, speed:  2413 KB/s
File /test_145.bin: deleted:   4240 us, speed:  2358 KB/s
File /test_146.bin: deleted:   4211 us, speed:  2374 KB/s
File /test_147.bin: deleted:  10173 us, speed:   982 KB/s
File /test_148.bin: deleted:   5811 us, speed:  1720 KB/s
File /test_149.bin: deleted:   4244 us, speed:  2356 KB/s
File /test_150.bin: deleted:   4187 us, speed:  2388 KB/s
File /test_151.bin: deleted:   4170 us, speed:  2398 KB/s
File /test_152.bin: deleted:   4168 us, speed:  2399 KB/s
File /test_153.bin: deleted:   4169 us, speed:  2398 KB/s
File /test_154.bin: deleted:   4283 us, speed:  2334 KB/s
File /test_155.bin: deleted:   4146 us, speed:  2411 KB/s
File /test_156.bin: deleted:   4186 us, speed:  2388 KB/s
File /test_157.bin: deleted:   4196 us, speed:  2383 KB/s
File /test_158.bin: deleted:   4212 us, speed:  2374 KB/s
File /test_159.bin: deleted:   4176 us, speed:  2394 KB/s
File /test_160.bin: deleted:   4172 us, speed:  2396 KB/s
File /test_161.bin: deleted:   4190 us, speed:  2386 KB/s
File /test_162.bin: deleted:   4184 us, speed:  2390 KB/s
File /test_163.bin: deleted:   4184 us, speed:  2390 KB/s
File /test_164.bin: deleted:   4202 us, speed:  2379 KB/s
File /test_165.bin: deleted:   4172 us, speed:  2396 KB/s
File /test_166.bin: deleted:   4174 us, speed:  2395 KB/s
File /test_167.bin: deleted:   4192 us, speed:  2385 KB/s
File /test_168.bin: deleted:  10127 us, speed:   987 KB/s
File /test_169.bin: deleted:   5770 us, speed:  1733 KB/s
File /test_170.bin: deleted:   4255 us, speed:  2350 KB/s
File /test_171.bin: deleted:   4157 us, speed:  2405 KB/s
File /test_172.bin: deleted:   4174 us, speed:  2395 KB/s
File /test_173.bin: deleted:   4191 us, speed:  2386 KB/s
File /test_174.bin: deleted:   4211 us, speed:  2374 KB/s
File /test_175.bin: deleted:   4168 us, speed:  2399 KB/s
File /test_176.bin: deleted:   4171 us, speed:  2397 KB/s
File /test_177.bin: deleted:   4161 us, speed:  2403 KB/s
File /test_178.bin: deleted:   4199 us, speed:  2381 KB/s
File /test_179.bin: deleted:   4187 us, speed:  2388 KB/s
File /test_180.bin: deleted:   4168 us, speed:  2399 KB/s
File /test_181.bin: deleted:   4165 us, speed:  2400 KB/s
File /test_182.bin: deleted:   4194 us, speed:  2384 KB/s
File /test_183.bin: deleted:   4171 us, speed:  2397 KB/s
File /test_184.bin: deleted:   4172 us, speed:  2396 KB/s
File /test_185.bin: deleted:   4158 us, speed:  2405 KB/s
File /test_186.bin: deleted:   4171 us, speed:  2397 KB/s
File /test_187.bin: deleted:   4157 us, speed:  2405 KB/s
File /test_188.bin: deleted:   4190 us, speed:  2386 KB/s
File /test_189.bin: deleted:  10113 us, speed:   988 KB/s
File /test_190.bin: deleted:   5749 us, speed:  1739 KB/s
File /test_191.bin: deleted:   4186 us, speed:  2388 KB/s
File /test_192.bin: deleted:   4224 us, speed:  2367 KB/s
File /test_193.bin: deleted:   4200 us, speed:  2380 KB/s
File /test_194.bin: deleted:   4170 us, speed:  2398 KB/s
File /test_195.bin: deleted:   4172 us, speed:  2396 KB/s
File /test_196.bin: deleted:   4168 us, speed:  2399 KB/s
File /test_197.bin: deleted:   4137 us, speed:  2417 KB/s
File /test_198.bin: deleted:   4138 us, speed:  2416 KB/s
File /test_199.bin: deleted:   4149 us, speed:  2410 KB/s
File /test_200.bin: deleted:   4113 us, speed:  2431 KB/s
File /test_201.bin: deleted:   4097 us, speed:  2440 KB/s
File /test_202.bin: deleted:   4104 us, speed:  2436 KB/s
File /test_203.bin: deleted:   4110 us, speed:  2433 KB/s
File /test_204.bin: deleted:   4148 us, speed:  2410 KB/s
File /test_205.bin: deleted:   4121 us, speed:  2426 KB/s
File /test_206.bin: deleted:   4114 us, speed:  2430 KB/s
File /test_207.bin: deleted:   4140 us, speed:  2415 KB/s
File /test_208.bin: deleted:   4173 us, speed:  2396 KB/s
File /test_209.bin: deleted:   4144 us, speed:  2413 KB/s
File /test_210.bin: deleted:   4087 us, speed:  2446 KB/s
File /test_211.bin: deleted:   5758 us, speed:  1736 KB/s
File /test_212.bin: deleted:   4071 us, speed:  2456 KB/s
File /test_213.bin: deleted:   4091 us, speed:  2444 KB/s
File /test_214.bin: deleted:   4096 us, speed:  2441 KB/s
File /test_215.bin: deleted:   4170 us, speed:  2398 KB/s
File /test_216.bin: deleted:   4102 us, speed:  2437 KB/s
File /test_217.bin: deleted:   4147 us, speed:  2411 KB/s
File /test_218.bin: deleted:   4130 us, speed:  2421 KB/s
File /test_219.bin: deleted:   4138 us, speed:  2416 KB/s
File /test_220.bin: deleted:   4070 us, speed:  2457 KB/s
File /test_221.bin: deleted:   4094 us, speed:  2442 KB/s
File /test_222.bin: deleted:   4106 us, speed:  2435 KB/s
File /test_223.bin: deleted:   4087 us, speed:  2446 KB/s
File /test_224.bin: deleted:   4149 us, speed:  2410 KB/s
File /test_225.bin: deleted:   4158 us, speed:  2405 KB/s
File /test_226.bin: deleted:   4107 us, speed:  2434 KB/s
File /test_227.bin: deleted:   4137 us, speed:  2417 KB/s
File /test_228.bin: deleted:   4102 us, speed:  2437 KB/s
