
=== FileX Read Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Reading 1000 files of 10240 bytes each...
File test_036.bin: opened:  6545 us, closed:     2 us, I/O:   2081 us, total:  13962 us, speed:  4805 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_037.bin: opened:   586 us, closed:     2 us, I/O:   2083 us, total:   7987 us, speed:  4800 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_038.bin: opened:   603 us, closed:     2 us, I/O:   2049 us, total:   7975 us, speed:  4880 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_039.bin: opened:   898 us, closed:     2 us, I/O:  11374 us, total:  17595 us, speed:   879 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_040.bin: opened:   627 us, closed:     2 us, I/O:   2037 us, total:   8037 us, speed:  4909 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_041.bin: opened:   829 us, closed:     2 us, I/O:  11434 us, total:  17642 us, speed:   874 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_042.bin: opened:   653 us, closed:     2 us, I/O:   2080 us, total:   8066 us, speed:  4807 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_043.bin: opened:   688 us, closed:     2 us, I/O:   2084 us, total:   8117 us, speed:  4798 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_044.bin: opened:   675 us, closed:     2 us, I/O:   2074 us, total:  14019 us, speed:  4821 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_045.bin: opened:   693 us, closed:     2 us, I/O:   2090 us, total:   8084 us, speed:  4784 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_046.bin: opened:   709 us, closed:     2 us, I/O:   2088 us, total:   8128 us, speed:  4789 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_047.bin: opened:   726 us, closed:     2 us, I/O:   2065 us, total:   8135 us, speed:  4842 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_048.bin: opened:   735 us, closed:     2 us, I/O:   2032 us, total:   8082 us, speed:  4921 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_049.bin: opened:   947 us, closed:     2 us, I/O:  11322 us, total:  17628 us, speed:   883 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_050.bin: opened:   760 us, closed:     2 us, I/O:   2018 us, total:   8106 us, speed:  4955 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_051.bin: opened:   771 us, closed:     2 us, I/O:   2068 us, total:   8200 us, speed:  4835 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_052.bin: opened:  1036 us, closed:     2 us, I/O:  11262 us, total:  23656 us, speed:   887 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_053.bin: opened:   807 us, closed:     2 us, I/O:   2065 us, total:   8208 us, speed:  4842 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_054.bin: opened:   836 us, closed:     2 us, I/O:   2089 us, total:   8255 us, speed:  4786 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_055.bin: opened:   829 us, closed:     2 us, I/O:   2088 us, total:   8267 us, speed:  4789 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_056.bin: opened:   847 us, closed:     2 us, I/O:   2063 us, total:   8230 us, speed:  4847 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_057.bin: opened:  1073 us, closed:     2 us, I/O:  11266 us, total:  17686 us, speed:   887 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_058.bin: opened:   871 us, closed:     2 us, I/O:   2017 us, total:   8253 us, speed:  4957 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_059.bin: opened:   887 us, closed:     2 us, I/O:   2056 us, total:   8298 us, speed:  4863 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_060.bin: opened:   892 us, closed:     2 us, I/O:   2082 us, total:   8328 us, speed:  4803 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_061.bin: opened:   911 us, closed:     2 us, I/O:   2083 us, total:  14296 us, speed:  4800 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_062.bin: opened:   925 us, closed:     2 us, I/O:   2040 us, total:   8317 us, speed:  4901 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_063.bin: opened:   937 us, closed:     2 us, I/O:   2092 us, total:   8371 us, speed:  4780 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_064.bin: opened:  1205 us, closed:     2 us, I/O:  11165 us, total:  17702 us, speed:   895 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_065.bin: opened:  1178 us, closed:     2 us, I/O:  11267 us, total:  17778 us, speed:   887 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_066.bin: opened:   983 us, closed:     2 us, I/O:   2107 us, total:   8419 us, speed:  4746 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_067.bin: opened:   994 us, closed:     2 us, I/O:   2016 us, total:   8398 us, speed:  4960 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_068.bin: opened:  1009 us, closed:     2 us, I/O:   2058 us, total:   8400 us, speed:  4859 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_069.bin: opened:  1018 us, closed:     2 us, I/O:   2017 us, total:  14373 us, speed:  4957 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_070.bin: opened:  1031 us, closed:     2 us, I/O:   2083 us, total:   8448 us, speed:  4800 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_071.bin: opened:  1044 us, closed:     2 us, I/O:   2086 us, total:   8498 us, speed:  4793 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_072.bin: opened:  1058 us, closed:     2 us, I/O:   2082 us, total:   8479 us, speed:  4803 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_073.bin: opened:  1279 us, closed:     2 us, I/O:  11134 us, total:  17754 us, speed:   898 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_074.bin: opened:  1090 us, closed:     2 us, I/O:   2086 us, total:   8500 us, speed:  4793 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
File test_075.bin: opened:  1124 us, closed:     2 us, I/O:   2082 us, total:   8594 us, speed:  4803 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
