
=== FileX Write Test ===

=== Test Configuration ===
Files count      : 1000
File size        : 10240 bytes (10.0 KB)
Block size       : 65536 bytes (64.0 KB)
Data pattern     : Constant (0xAA)
Data verification: Enabled
Writing 1000 files of 10240 bytes each...
File test_045.bin: opened:   621 us, closed:   907 us, I/O:  35089 us, total:  45531 us, speed:   284 KB/s, CRC32: 0xC61C2AA0
File test_046.bin: opened:   639 us, closed:   901 us, I/O:  29326 us, total:  39821 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_047.bin: opened:   654 us, closed:   909 us, I/O:  29575 us, total:  40162 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_048.bin: opened:  6626 us, closed:   915 us, I/O:  30368 us, total:  46929 us, speed:   329 KB/s, CRC32: 0xC61C2AA0
File test_049.bin: opened:   677 us, closed:   904 us, I/O:  29495 us, total:  40851 us, speed:   339 KB/s, CRC32: 0xC61C2AA0
File test_050.bin: opened:   691 us, closed:   904 us, I/O:  35242 us, total:  45870 us, speed:   283 KB/s, CRC32: 0xC61C2AA0
File test_051.bin: opened:   703 us, closed:   918 us, I/O:  29496 us, total:  40224 us, speed:   339 KB/s, CRC32: 0xC61C2AA0
File test_052.bin: opened:   716 us, closed:   900 us, I/O:  38821 us, total:  49612 us, speed:   257 KB/s, CRC32: 0xC61C2AA0
File test_053.bin: opened:   729 us, closed:   899 us, I/O:  28962 us, total:  39716 us, speed:   345 KB/s, CRC32: 0xC61C2AA0
File test_054.bin: opened:   742 us, closed:   907 us, I/O:  35157 us, total:  46007 us, speed:   284 KB/s, CRC32: 0xC61C2AA0
File test_055.bin: opened:   755 us, closed:   920 us, I/O:  29410 us, total:  40218 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_056.bin: opened:   770 us, closed:   908 us, I/O:  29568 us, total:  40483 us, speed:   338 KB/s, CRC32: 0xC61C2AA0
File test_057.bin: opened:   788 us, closed:   909 us, I/O:  29426 us, total:  47219 us, speed:   339 KB/s, CRC32: 0xC61C2AA0
File test_058.bin: opened:   800 us, closed:   902 us, I/O:  29162 us, total:  40154 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_059.bin: opened:   815 us, closed:   906 us, I/O:  35326 us, total:  46308 us, speed:   283 KB/s, CRC32: 0xC61C2AA0
File test_060.bin: opened:   823 us, closed:   920 us, I/O:  29606 us, total:  40713 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_061.bin: opened:   836 us, closed:   927 us, I/O:  36468 us, total:  47558 us, speed:   274 KB/s, CRC32: 0xC61C2AA0
File test_062.bin: opened:   851 us, closed:   910 us, I/O:  29033 us, total:  40145 us, speed:   344 KB/s, CRC32: 0xC61C2AA0
File test_063.bin: opened:   862 us, closed:   905 us, I/O:  29284 us, total:  40476 us, speed:   341 KB/s, CRC32: 0xC61C2AA0
File test_064.bin: opened:   877 us, closed:   905 us, I/O:  31697 us, total:  48844 us, speed:   315 KB/s, CRC32: 0xC61C2AA0
File test_065.bin: opened:   891 us, closed:   911 us, I/O:  31517 us, total:  43496 us, speed:   317 KB/s, CRC32: 0xC61C2AA0
File test_066.bin: opened:   907 us, closed:   907 us, I/O:  28992 us, total:  46227 us, speed:   344 KB/s, CRC32: 0xC61C2AA0
File test_067.bin: opened:   920 us, closed:   911 us, I/O:  29278 us, total:  40629 us, speed:   341 KB/s, CRC32: 0xC61C2AA0
File test_068.bin: opened:   934 us, closed:   915 us, I/O:  35372 us, total:  46727 us, speed:   282 KB/s, CRC32: 0xC61C2AA0
File test_069.bin: opened:   945 us, closed:   927 us, I/O:  29644 us, total:  41058 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_070.bin: opened:   954 us, closed:   913 us, I/O:  34905 us, total:  46483 us, speed:   286 KB/s, CRC32: 0xC61C2AA0
File test_071.bin: opened:   969 us, closed:   898 us, I/O:  29168 us, total:  40613 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_072.bin: opened:   983 us, closed:   914 us, I/O:  29280 us, total:  40792 us, speed:   341 KB/s, CRC32: 0xC61C2AA0
File test_073.bin: opened:  1000 us, closed:   913 us, I/O:  30278 us, total:  48460 us, speed:   330 KB/s, CRC32: 0xC61C2AA0
File test_074.bin: opened:  1025 us, closed:   900 us, I/O:  30670 us, total:  42239 us, speed:   326 KB/s, CRC32: 0xC61C2AA0
File test_075.bin: opened:  1045 us, closed:   904 us, I/O:  35033 us, total:  46628 us, speed:   285 KB/s, CRC32: 0xC61C2AA0
File test_076.bin: opened:  1043 us, closed:   907 us, I/O:  29233 us, total:  40917 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_077.bin: opened:  1070 us, closed:   899 us, I/O:  37796 us, total:  49456 us, speed:   264 KB/s, CRC32: 0xC61C2AA0
File test_078.bin: opened:  1065 us, closed:   899 us, I/O:  30981 us, total:  42700 us, speed:   322 KB/s, CRC32: 0xC61C2AA0
File test_079.bin: opened:  1081 us, closed:   901 us, I/O:  34916 us, total:  46654 us, speed:   286 KB/s, CRC32: 0xC61C2AA0
File test_080.bin: opened:  1087 us, closed:   907 us, I/O:  29130 us, total:  40906 us, speed:   343 KB/s, CRC32: 0xC61C2AA0
File test_081.bin: opened:  1105 us, closed:   914 us, I/O:  36057 us, total:  48601 us, speed:   277 KB/s, CRC32: 0xC61C2AA0
File test_082.bin: opened:  1118 us, closed:   910 us, I/O:  29625 us, total:  41522 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_083.bin: opened:  1132 us, closed:   904 us, I/O:  28946 us, total:  41034 us, speed:   345 KB/s, CRC32: 0xC61C2AA0
File test_084.bin: opened:  1151 us, closed:   909 us, I/O:  29109 us, total:  47057 us, speed:   343 KB/s, CRC32: 0xC61C2AA0
File test_085.bin: opened:  1182 us, closed:   926 us, I/O:  29338 us, total:  41434 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
File test_086.bin: opened:  1173 us, closed:   917 us, I/O:  35534 us, total:  47585 us, speed:   281 KB/s, CRC32: 0xC61C2AA0
File test_087.bin: opened:  1189 us, closed:   907 us, I/O:  30869 us, total:  42931 us, speed:   323 KB/s, CRC32: 0xC61C2AA0
File test_088.bin: opened:  1200 us, closed:   915 us, I/O:  35030 us, total:  47111 us, speed:   285 KB/s, CRC32: 0xC61C2AA0
File test_089.bin: opened:  1215 us, closed:   913 us, I/O:  30063 us, total:  42919 us, speed:   332 KB/s, CRC32: 0xC61C2AA0
File test_090.bin: opened:  1237 us, closed:   911 us, I/O:  37879 us, total:  50079 us, speed:   263 KB/s, CRC32: 0xC61C2AA0
File test_091.bin: opened:  1237 us, closed:   904 us, I/O:  31128 us, total:  43318 us, speed:   321 KB/s, CRC32: 0xC61C2AA0
File test_092.bin: opened:  1252 us, closed:   903 us, I/O:  34927 us, total:  47198 us, speed:   286 KB/s, CRC32: 0xC61C2AA0
File test_093.bin: opened:  1268 us, closed:   919 us, I/O:  29210 us, total:  41515 us, speed:   342 KB/s, CRC32: 0xC61C2AA0
File test_094.bin: opened:  1281 us, closed:   903 us, I/O:  29425 us, total:  41799 us, speed:   339 KB/s, CRC32: 0xC61C2AA0
File test_095.bin: opened:  1298 us, closed:   900 us, I/O:  29610 us, total:  47977 us, speed:   337 KB/s, CRC32: 0xC61C2AA0
File test_096.bin: opened:  1307 us, closed:   901 us, I/O:  28850 us, total:  41376 us, speed:   346 KB/s, CRC32: 0xC61C2AA0
File test_097.bin: opened:  1321 us, closed:   911 us, I/O:  35995 us, total:  49160 us, speed:   277 KB/s, CRC32: 0xC61C2AA0
File test_098.bin: opened:  1334 us, closed:   912 us, I/O:  29349 us, total:  41832 us, speed:   340 KB/s, CRC32: 0xC61C2AA0
